Airbnb_ListingID,City,Neighbourhood,Lat,Lng,RoomType_Clean,RoomAndPropertyType,PersonCapacity,Bathrooms,Bedrooms,Beds,BasicNightPrice,StarRating,LocationRating,CleanlinessRating,ValueRating,AccuracyRating,CheckinRating,CommunicationRating,ReviewCount,AvailableMoreThan30Days,PriceCategory,RatingBand,PropertySize,AvailabilityStatus
1.53671E+18,Pune,Unknown,18.5411,73.9394,Entire Home,Entire rental unit,3,1,1,1,2960,4.5,4,4,4,4.5,4.5,5,2,1,Mid-Range,4.0-4.5,Medium,Available >30 Days
1.61163E+18,Pune,Unknown,18.57597,73.91344,Entire Home,Entire rental unit,2,1,1,1,4378,4.82,4.8,4.77,,,,,0,1,Premium,4.75-5.0,Small,Available >30 Days
1.61165E+18,Pune,Unknown,18.54524673,73.77935637,Entire Home,Entire rental unit,2,1,1,1,3166,4.86,5,4.57,4.71,4.86,4.86,5,7,1,Mid-Range,4.75-5.0,Small,Available >30 Days
37249551,Pune,Unknown,18.59189,73.71886,Private Room,Private room in home,2,1,1,1,1952,4.35,4.8,4.4,4.15,4.5,4.25,4.45,20,1,Budget,4.0-4.5,Small,Available >30 Days
40171201,Pune,Gahunje,18.66378,73.70966,Entire Home,Entire rental unit,3,1,1,1,2912,4.99,4.85,4.94,4.87,4.91,4.97,4.99,98,1,Mid-Range,4.75-5.0,Medium,Available >30 Days
40303053,Pimpri-Chinchwad,Unknown,18.63251,73.8424,Private Room,Private room in bungalow,2,1,1,1,1450,4.55,4.65,4.45,4.51,4.53,4.69,4.67,49,1,Budget,4.5-4.75,Small,Available >30 Days
9.42714E+17,Pune,Unknown,18.5493,73.8178,Serviced Apartment,Entire serviced apartment,3,1.5,1,1,3263,4.9,4.78,4.88,4.73,4.86,4.91,4.81,77,1,Mid-Range,4.75-5.0,Medium,Available >30 Days
9.56854E+17,Pune,Gahunje,18.66291,73.7077,Entire Home,Entire rental unit,2,1,1,1,4560,4.98,4.94,4.97,4.93,4.98,4.98,4.99,120,1,Premium,4.75-5.0,Small,Available >30 Days
9.69155E+17,Pune,Unknown,18.5263,73.8459,Private Room,Private room in rental unit,2,1,1,1,2546,4.78,4.88,4.88,4.73,4.83,4.89,4.86,113,1,Mid-Range,4.75-5.0,Small,Available >30 Days
9.70046E+17,Pune,Unknown,18.58219,73.72721,Private Room,Private room in apartment,2,1,1,1,1519,4.7,4.93,4.56,4.77,4.91,4.74,4.88,43,1,Budget,4.5-4.75,Small,Available >30 Days
